ticker,entity,stage,status,fcf_positive_streak,fcf_cv,gross_margin_latest,roic_avg,asset_cagr,rev_cagr,net_debt_ebitda,pe,fcf_yield,score,reason
MO,"ALTRIA GROUP, INC.",L4,pass_valuation,17,0.06102631386407717,0.6246831908587138,0.43569810163933725,-0.01778666227116943,-0.024741064227067344,2.08903098868667,15.237995,0.07444700988158617,0.5377,FCF yield 7.4% >= UST 4.6% / P/E 15 <= 30
NTAP,"NetApp, Inc.",L4,pass_valuation,16,0.2703726634052215,0.7074368231046931,0.6783643754827753,0.030499196052284905,0.028668334111952687,0.22504047490555856,26.103937,0.05755074936300503,0.5012,FCF yield 5.8% >= UST 4.6% / P/E 26 <= 30
RL,RALPH LAUREN CORPORATION,L4,pass_valuation,15,0.4900299237551313,0.6986505638055333,0.3430018558269413,0.044620082215383494,0.07988555170505496,-0.6771728748806113,25.359602,0.04470704302503393,0.3185,P/E 25 <= 30
TTD,"TRADE DESK, INC.",L4,pass_valuation,10,0.5191189347341308,0.7862547319254604,0.14072204763134943,0.11992000906297373,0.2244193656887754,-0.9334425369271243,20.738636,0.09274574117468308,0.3532,FCF yield 9.3% >= UST 4.6% / P/E 21 <= 30
VRSK,"Verisk Analytics, Inc.",L4,pass_valuation,15,0.15664624642445063,0.6987991017671754,0.21890081480199106,-0.038093566243089905,0.07160288137517012,2.5601646809306966,29.76372,0.04659132695266387,0.4206,FCF yield 4.7% >= UST 4.6% / P/E 30 <= 30
ZTS,Zoetis Inc.,L4,pass_valuation,12,0.21113661224434183,0.7183901975282561,0.2773885073350858,0.011961325533572653,0.054225876815096274,1.6539690341607274,12.352459,0.07227236079668894,0.4592,FCF yield 7.2% >= UST 4.6% / P/E 12 <= 30
A,"AGILENT TECHNOLOGIES, INC.",L3,rejected,17,0.2080107681901651,0.5243235463442717,0.17596169418341556,0.06513600275472764,0.004844098070605929,0.7136389360498019,,,,quality: asset growth 7% > revenue growth 0%
AAPL,Apple Inc.,L2,rejected,17,0.19309601955375255,0.4690516410716045,0.7426692330726131,0.006091715313301105,0.01812535743479393,0.3782021167822699,,,,landmine: receivables growth > 2x revenue growth (consecutive)
ABBV,AbbVie Inc.,L3,rejected,13,0.19034361470665107,0.7023544800523218,0.17569406533204743,-0.011773089248272806,0.017525049181538188,,,,,quality: 10y gross-margin trend declining
ABT,ABBOTT LABORATORIES,L3,rejected,17,0.2163003577462482,0.5641806533116765,0.1308183105110436,0.05219565785838265,0.005127944169646348,,,,,quality: asset growth 5% > revenue growth 1%
ACN,Accenture plc,L3,rejected,16,0.1601282051422318,0.31913952808418106,0.4233654408260012,0.11431077631609066,0.04193654176414818,,,,,quality: asset growth 11% > revenue growth 4%
ADI,"Analog Devices, Inc.",L3,rejected,17,0.29123797780375366,0.614669518890112,0.06289946726191284,-0.015545445748754938,-0.028383891841526898,,,,,quality: 10y gross-margin trend declining; avg ROIC 6% < 12%; asset growth -2% > revenue growth -3%
ADM,ARCHER-DANIELS-MIDLAND CO,L3,rejected,5,4.191127648815567,0.20167494790831864,0.10123030749720241,-0.043005893694793906,-0.37364127700324845,2.1643700787401574,,,,quality: positive FCF only 5y < 7y; FCF coeff. of variation 4.19 > 0.6; gross margin 20% < 30%; avg ROIC 10% < 12%; asset growth -4% > revenue growth -37%
ADP,AUTOMATIC DATA PROCESSING INC,L3,rejected,0,,0.46027168071436564,0.6499455232372167,-0.05413964340981725,0.07613719280368492,0.09890681116501795,,,,quality: positive FCF only 0y < 7y; FCF coeff. of variation -- > 0.6
AEE,AMEREN CORP,L2,rejected,0,,,0.05152366481551545,0.08546021776231072,0.03409709923004489,5.270478284771853,,,,landmine: share count rising despite buybacks (swallowed by dilution); net debt/EBITDA=5.3 > 3.0
AEP,"American Electric Power Company, Inc.",L2,rejected,12,0.14884716185304028,,0.057130085509215174,0.06986282108309472,0.03384740995063851,5.451758445164276,,,,landmine: share count rising despite buybacks (swallowed by dilution); net debt/EBITDA=5.5 > 3.0
AES,AES CORP,L2,rejected,0,,0.1807406196354124,0.7117066448345291,0.10505257693843784,-0.010249740650209005,-55.28,,,,landmine: share count rising despite buybacks (swallowed by dilution)
AKAM,"AKAMAI TECHNOLOGIES, INC.",L3,rejected,17,0.1742761869546004,0.589486416320614,0.13249810986363622,0.11401440740088575,0.05178977181914113,-0.7292754918447264,,,,quality: 10y gross-margin trend declining; asset growth 11% > revenue growth 5%
ALB,Albemarle Corporation,L2,rejected,1,,0.13003183326841972,-0.041553850564282464,-0.053320073530033985,-0.2687386885238615,5.403197596658368,,,,landmine: net debt/EBITDA=5.4 > 3.0
ALGN,"ALIGN TECHNOLOGY, INC.",L2,rejected,16,0.2553320702005413,0.6718803439138491,0.17719332268204957,0.0157638984010271,0.026117671821406674,-1.3980089148113295,,,,landmine: receivables growth > 2x revenue growth (consecutive)
ALLE,Allegion plc,L3,rejected,12,0.19326547682362158,0.4519705947434416,0.21913056535040373,0.09385119457829982,0.07523170466176188,1.6416295996765062,,,,quality: asset growth 9% > revenue growth 8%
AMAT,APPLIED MATERIALS INC /DE,L3,rejected,17,0.3317088441565836,0.4867456288776086,0.4110684999991803,0.10744006723308419,0.032334704568867556,-0.09009628610729023,,,,quality: asset growth 11% > revenue growth 3%
AMCR,AMCOR PLC,L2,rejected,7,0.22252685686916485,0.1888200413085482,0.25909023220157074,0.28605439300027347,0.010545712737626056,-0.4777585210860774,,,,landmine: share count rising despite buybacks (swallowed by dilution)
AMD,ADVANCED MICRO DEVICES INC,L2,rejected,7,0.8024600774954663,0.4951644100580271,0.14665446730527593,0.04412298039644602,0.13643599335368428,,,,,landmine: share count rising despite buybacks (swallowed by dilution)
AME,"AMETEK, Inc.",L3,rejected,17,0.2258535618579173,0.3604103759487083,0.12414847306023698,0.08929724193276445,0.06364055992660522,0.7823674811550708,,,,quality: asset growth 9% > revenue growth 6%
AMGN,Amgen Inc.,L2,rejected,17,0.1101015404490584,0.6724714973742211,0.16596650098745486,0.11629764191733205,0.11766399097603264,3.191900049133151,,,,landmine: net debt/EBITDA=3.2 > 3.0
AMZN,AMAZON COM INC,L2,rejected,3,1.5479477084322424,0.5028566486824266,0.1486363049087682,0.20920478219175354,0.11731283601806397,-0.1263560944479898,,,,landmine: share count rising despite buybacks (swallowed by dilution)
ANET,"Arista Networks, Inc.",L3,rejected,12,0.7616638416940559,0.6405609780472368,0.3177628743977262,0.42118600172517606,0.27146525721597636,-0.4998854582940922,,,,quality: FCF coeff. of variation 0.76 > 0.6; asset growth 42% > revenue growth 27%
APD,"AIR PRODUCTS AND CHEMICALS, INC.",L3,rejected,0,,0.3141319066568084,0.1500518475825668,0.14724007016324325,-0.01766923192508929,-2.70081490104773,,,,quality: positive FCF only 0y < 7y; FCF coeff. of variation -- > 0.6; asset growth 15% > revenue growth -2%
APH,AMPHENOL CORP /DE/,L2,rejected,17,0.5115043566611066,0.3688162219037268,0.6700924995407148,0.3322084468425561,0.2230660589034148,-1.6390222353114416,,,,landmine: share count rising despite buybacks (swallowed by dilution)
APP,AppLovin Corp,L3,rejected,4,0.7124173583675119,0.8786399662671873,0.34036675249732956,0.07474587686973644,0.2483811324958407,1.1918201279079332,,,,quality: positive FCF only 4y < 7y; FCF coeff. of variation 0.71 > 0.6
APTV,APTIV PLC,L3,rejected,14,0.42362299422858896,0.19109716638886165,0.08877582916905655,0.022767187107584297,0.052626267311163044,2.583448275862069,,,,quality: gross margin 19% < 30%; avg ROIC 9% < 12%
ATO,ATMOS ENERGY CORP,L2,rejected,0,,,0.09242331805176211,0.08375663313702297,0.03827025829324082,-0.08832770591219131,,,,landmine: share count rising despite buybacks (swallowed by dilution)
AVGO,Broadcom Inc.,L2,rejected,8,0.33063283742278765,0.6776652527118193,0.6313963567565777,0.3268118277330492,0.24378426000041764,,,,,landmine: share count rising despite buybacks (swallowed by dilution)
AVY,AVERY DENNISON CORPORATION,L3,rejected,16,0.14761329070618673,0.28753881768392525,0.14705771270667364,0.03448462408712305,-0.006824275768766208,2.5340966371426514,,,,quality: gross margin 29% < 30%; asset growth 3% > revenue growth -1%
AWK,"AMERICAN WATER WORKS COMPANY, INC.",L2,rejected,0,,,0.13125203194707993,0.08448992080236617,0.10817118293240635,-0.03534078615218175,,,,landmine: share count rising despite buybacks (swallowed by dilution)
AXON,"Axon Enterprise, Inc.",L2,rejected,5,0.9315486820375511,0.5965474093517767,0.0029685894731507094,0.3489463988663044,0.3268332762261008,28.910362817168604,,,,landmine: share count rising despite buybacks (swallowed by dilution); net debt/EBITDA=28.9 > 3.0
AZO,AUTOZONE INC,L3,rejected,16,0.1878096274179239,0.5262486365892685,0.8715518000770641,0.08211313347424176,0.05231525172845841,2.0192411009730415,,,,quality: asset growth 8% > revenue growth 5%
BA,THE BOEING COMPANY,L2,rejected,0,,0.04794160714485318,-0.06763470983935105,0.07059768322578597,0.10333066303739025,8.243182547321142,,,,landmine: share count rising despite buybacks (swallowed by dilution); net debt/EBITDA=8.2 > 3.0
BALL,BALL CORPORATION,L3,rejected,1,4.475365647264785,,0.24797246881030194,-0.006487999044267667,-0.049972301179742495,-0.5808929428708594,,,,quality: positive FCF only 1y < 7y; FCF coeff. of variation 4.48 > 0.6; operating margin 11% < 20%; asset growth -1% > revenue growth -5%
